Success,Hop-number,Starting distance,Travel sum,Min used energy,Max used energy,Sum used energy,Node energy 1,Node energy 2,Node energy 3,Node energy 4,Node energy 5,Node energy 6,Node energy 7,Node energy 8,Node energy 9,Node energy 10,Node energy 11,Node energy 12,Node energy 13,Node energy 14,Node energy 15,Node energy 16,Node energy 17,Node energy 18,Node energy 19,Node energy 20,Node energy 21,Node energy 22,Node energy 23,Node energy 24,Node energy 25
1,2,0.75,0.75,1526.65891,4204.39463,5731.05354,79267.0548,79267.0548,70167.5987,73159.3444,73424.4078,79635.3788,74888.5616,70167.5987,75620.6622,73424.4078,77321.7533,73300.8711,73300.8711,70167.5987,73424.4078,84012.419,74888.5616,73300.8711,73159.3444,70167.5987,86695.7897,73361.9027,73361.9027,73300.8711,100000
1,4,0.901387819,1.10355339,1387.59167,4520.86403,14950.1838,79267.0548,79267.0548,70167.5987,73159.3444,73424.4078,79635.3788,74888.5616,68780.0071,75620.6622,73424.4078,77321.7533,73300.8711,68780.0071,70167.5987,73424.4078,84012.419,74888.5616,68780.0071,73159.3444,70167.5987,86695.7897,73361.9027,73361.9027,68780.0071,100000
1,2,0.559016994,0.603553391,916.495736,3908.24139,4824.73712,79267.0548,79267.0548,70167.5987,73159.3444,73424.4078,79635.3788,74888.5616,68780.0071,75620.6622,73424.4078,77321.7533,73300.8711,68780.0071,69251.103,73424.4078,84012.419,74888.5616,68780.0071,69251.103,70167.5987,86695.7897,73361.9027,73361.9027,68780.0071,100000
1,3,1,1,3737.54615,3737.54615,11212.6385,79267.0548,79267.0548,70167.5987,73159.3444,69686.8617,79635.3788,74888.5616,68780.0071,75620.6622,69686.8617,77321.7533,73300.8711,68780.0071,69251.103,69686.8617,84012.419,74888.5616,68780.0071,69251.103,70167.5987,86695.7897,73361.9027,73361.9027,68780.0071,100000
1,3,1.03077641,1.05901699,1509.2687,6962.33214,12972.6152,79267.0548,79267.0548,70167.5987,68658.33,69686.8617,79635.3788,74888.5616,68780.0071,68658.33,69686.8617,77321.7533,73300.8711,68780.0071,69251.103,69686.8617,84012.419,74888.5616,68780.0071,69251.103,68658.33,86695.7897,73361.9027,73361.9027,68780.0071,100000
1,2,0.75,1.25,1817.92801,15151.815,16969.743,79267.0548,79267.0548,70167.5987,68658.33,69686.8617,79635.3788,74888.5616,68780.0071,68658.33,69686.8617,77321.7533,73300.8711,68780.0071,69251.103,69686.8617,84012.419,74888.5616,68780.0071,69251.103,68658.33,71543.9747,71543.9747,73361.9027,68780.0071,100000
1,2,0.5,0.5,919.501966,1948.03361,2867.53557,79267.0548,79267.0548,70167.5987,68658.33,69686.8617,79635.3788,74888.5616,68780.0071,68658.33,69686.8617,77321.7533,73300.8711,68780.0071,69251.103,67738.8281,84012.419,74888.5616,68780.0071,69251.103,67738.8281,71543.9747,71543.9747,73361.9027,68780.0071,100000
1,4,1.11803399,2.1343298,4316.95188,18161.7721,49679.8639,79267.0548,65850.6469,65850.6469,68658.33,69686.8617,65850.6469,74888.5616,68780.0071,68658.33,69686.8617,77321.7533,73300.8711,68780.0071,69251.103,67738.8281,65850.6469,74888.5616,68780.0071,69251.103,67738.8281,71543.9747,71543.9747,73361.9027,68780.0071,100000
1,4,1,1,1854.45994,3802.49355,11313.907,79267.0548,65850.6469,65850.6469,68658.33,65884.3681,65850.6469,74888.5616,68780.0071,68658.33,65884.3681,77321.7533,73300.8711,68780.0071,69251.103,65884.3681,65850.6469,74888.5616,68780.0071,69251.103,65884.3681,71543.9747,71543.9747,73361.9027,68780.0071,100000
1,4,1.11803399,1.20710678,1704.14272,5104.59886,16546.8433,79267.0548,65850.6469,64146.5041,68658.33,65884.3681,65850.6469,74888.5616,64146.5041,68658.33,65884.3681,77321.7533,73300.8711,68780.0071,64146.5041,65884.3681,65850.6469,74888.5616,68780.0071,64146.5041,65884.3681,71543.9747,71543.9747,73361.9027,68780.0071,100000
1,4,1.03077641,1.10355339,2036.81464,4810.77654,13695.1824,79267.0548,65850.6469,64146.5041,63847.5535,65884.3681,65850.6469,74888.5616,64146.5041,63847.5535,65884.3681,77321.7533,73300.8711,68780.0071,64146.5041,63847.5535,65850.6469,74888.5616,68780.0071,64146.5041,63847.5535,71543.9747,71543.9747,73361.9027,68780.0071,100000
1,3,0.75,0.75,1509.93907,3546.7537,6566.63184,79267.0548,65850.6469,64146.5041,63847.5535,65884.3681,65850.6469,74888.5616,64146.5041,63847.5535,62337.6144,77321.7533,73300.8711,68780.0071,64146.5041,62337.6144,65850.6469,74888.5616,68780.0071,64146.5041,62337.6144,71543.9747,71543.9747,73361.9027,68780.0071,100000
1,2,0.75,0.75,1895.14679,3713.0748,5608.22159,79267.0548,65850.6469,64146.5041,63847.5535,65884.3681,65850.6469,74888.5616,64146.5041,63847.5535,62337.6144,77321.7533,73300.8711,68780.0071,64146.5041,62337.6144,65850.6469,74888.5616,68780.0071,64146.5041,62337.6144,71543.9747,69648.8279,69648.8279,68780.0071,100000
1,4,0.790569415,1,1870.53379,6802.98736,13012.4901,79267.0548,65850.6469,64146.5041,63847.5535,65884.3681,65850.6469,74888.5616,64146.5041,61977.0197,62337.6144,77321.7533,73300.8711,68780.0071,61977.0197,62337.6144,65850.6469,74888.5616,68780.0071,61977.0197,62337.6144,71543.9747,69648.8279,69648.8279,61977.0197,100000
1,3,0.75,0.75,1871.95473,1871.95473,5615.86419,79267.0548,65850.6469,64146.5041,63847.5535,65884.3681,65850.6469,74888.5616,64146.5041,61977.0197,60465.6597,77321.7533,73300.8711,68780.0071,61977.0197,60465.6597,65850.6469,74888.5616,68780.0071,61977.0197,60465.6597,71543.9747,69648.8279,69648.8279,61977.0197,100000
1,3,1.03077641,1.10355339,1511.2209,10549.1356,17369.7585,79267.0548,65850.6469,64146.5041,63847.5535,65884.3681,65850.6469,74888.5616,64146.5041,61977.0197,60465.6597,77321.7533,73300.8711,68780.0071,61977.0197,60465.6597,64339.426,64339.426,68780.0071,61977.0197,60465.6597,71543.9747,69648.8279,64339.426,61977.0197,100000
1,4,1.11803399,1.30901699,2584.02666,7217.52957,19603.1125,79267.0548,65850.6469,61562.4775,63847.5535,65884.3681,65850.6469,74888.5616,61562.4775,61977.0197,60465.6597,77321.7533,73300.8711,61562.4775,61977.0197,60465.6597,64339.426,64339.426,61562.4775,61977.0197,60465.6597,71543.9747,69648.8279,64339.426,61977.0197,100000
1,3,1.41421356,1.50494121,9380.19679,15346.3805,35694.4646,63920.6743,65850.6469,61562.4775,63847.5535,65884.3681,65850.6469,63920.6743,61562.4775,61977.0197,60465.6597,77321.7533,63920.6743,61562.4775,61977.0197,60465.6597,64339.426,64339.426,61562.4775,61977.0197,60465.6597,71543.9747,69648.8279,64339.426,61977.0197,100000
1,4,0.901387819,1.10355339,2788.04677,3202.58898,12395.8137,63920.6743,65850.6469,61562.4775,63847.5535,65884.3681,65850.6469,63920.6743,58774.4307,58774.4307,60465.6597,77321.7533,63920.6743,61562.4775,58774.4307,60465.6597,64339.426,64339.426,61562.4775,58774.4307,60465.6597,71543.9747,69648.8279,64339.426,61977.0197,100000
1,4,0.790569415,1,1499.49414,3190.72312,11071.6635,63920.6743,65850.6469,61562.4775,63847.5535,65884.3681,65850.6469,63920.6743,58774.4307,57274.9366,57274.9366,77321.7533,63920.6743,61562.4775,58774.4307,57274.9366,64339.426,64339.426,61562.4775,58774.4307,57274.9366,71543.9747,69648.8279,64339.426,61977.0197,100000
1,3,0.75,0.75,1866.74903,1866.74903,5600.24709,63920.6743,65850.6469,61562.4775,63847.5535,65884.3681,65850.6469,63920.6743,58774.4307,57274.9366,55408.1875,77321.7533,63920.6743,61562.4775,58774.4307,55408.1875,64339.426,64339.426,61562.4775,58774.4307,55408.1875,71543.9747,69648.8279,64339.426,61977.0197,100000
1,1,0.75,0.75,5602.85371,5602.85371,5602.85371,63920.6743,65850.6469,61562.4775,63847.5535,65884.3681,65850.6469,63920.6743,58774.4307,57274.9366,55408.1875,77321.7533,63920.6743,61562.4775,58774.4307,55408.1875,64339.426,64339.426,61562.4775,58774.4307,55408.1875,71543.9747,64045.9742,64339.426,61977.0197,100000
1,1,0.25,0.25,627.940996,627.940996,627.940996,63920.6743,65850.6469,61562.4775,63847.5535,65884.3681,65850.6469,63920.6743,58774.4307,57274.9366,55408.1875,77321.7533,63920.6743,61562.4775,58774.4307,55408.1875,64339.426,64339.426,61562.4775,58774.4307,55408.1875,71543.9747,64045.9742,64339.426,61349.0787,100000
