Success,Sent messages,Starting distance,One used energy,Node energy 1,Node energy 2,Node energy 3,Node energy 4,Node energy 5,Node energy 6,Node energy 7,Node energy 8,Node energy 9,Node energy 10,Node energy 11,Node energy 12,Node energy 13,Node energy 14,Node energy 15,Node energy 16,Node energy 17,Node energy 18,Node energy 19,Node energy 20,Node energy 21,Node energy 22,Node energy 23,Node energy 24,Node energy 25
1,7,0.901387819,36.0488892,99941.1106,99787.4737,99705.1716,99497.9382,99370.4319,99889.8983,99610.1618,99389.6484,99154.52,99145.8893,99807.5962,99556.4938,99345.7079,99152.0643,98932.3378,99856.2336,99446.7258,99617.362,99567.5921,99121.511,99666.9292,99472.1651,99142.2653,99319.1838,100000
1,7,1.06066017,42.0331955,99941.1106,99787.4737,99705.1716,99497.9382,99370.4319,99889.8983,99568.1286,99389.6484,99112.4868,99103.8561,99807.5962,99514.4606,99303.6747,99152.0643,98932.3378,99856.2336,99446.7258,99617.362,99525.5589,99121.511,99666.9292,99472.1651,99142.2653,99319.1838,100000
1,7,0.901387819,36.0488892,99941.1106,99787.4737,99705.1716,99497.9382,99370.4319,99889.8983,99568.1286,99353.5995,99076.438,99103.8561,99807.5962,99514.4606,99267.6258,99116.0154,98932.3378,99856.2336,99446.7258,99617.362,99489.5101,99121.511,99666.9292,99472.1651,99142.2653,99283.1349,100000
1,10,1.25,51.2123108,99941.1106,99736.2614,99705.1716,99446.7258,99370.4319,99889.8983,99516.9163,99302.3872,99025.2256,99103.8561,99807.5962,99463.2483,99216.4135,99064.8031,98932.3378,99856.2336,99446.7258,99617.362,99438.2977,99121.511,99666.9292,99472.1651,99142.2653,99283.1349,100000
1,12,1.25,51.2123108,99941.1106,99685.0491,99653.9593,99446.7258,99319.2196,99889.8983,99465.704,99251.1749,98974.0133,99052.6438,99807.5962,99412.0359,99165.2012,99064.8031,98932.3378,99856.2336,99446.7258,99566.1497,99438.2977,99121.511,99666.9292,99472.1651,99091.053,99283.1349,100000
1,7,1.11803399,47.0638275,99941.1106,99685.0491,99606.8954,99399.662,99319.2196,99889.8983,99465.704,99204.1111,98926.9495,99052.6438,99807.5962,99412.0359,99165.2012,99017.7393,98932.3378,99856.2336,99446.7258,99519.0859,99438.2977,99121.511,99666.9292,99472.1651,99091.053,99283.1349,100000
1,3,0.5,45.9432602,99941.1106,99685.0491,99606.8954,99399.662,99319.2196,99889.8983,99465.704,99204.1111,98926.9495,99052.6438,99807.5962,99412.0359,99165.2012,99017.7393,98886.3945,99856.2336,99446.7258,99519.0859,99438.2977,99075.5677,99666.9292,99472.1651,99091.053,99283.1349,100000
1,9,1.03077641,49.6387482,99941.1106,99685.0491,99606.8954,99350.0233,99269.5808,99889.8983,99465.704,99204.1111,98877.3108,99003.005,99807.5962,99412.0359,99165.2012,98968.1005,98836.7558,99856.2336,99446.7258,99519.0859,99388.659,99075.5677,99666.9292,99472.1651,99091.053,99233.4962,100000
1,4,0.790569415,35.8104706,99941.1106,99685.0491,99606.8954,99350.0233,99269.5808,99889.8983,99465.704,99204.1111,98841.5003,99003.005,99807.5962,99412.0359,99165.2012,98932.2901,98800.9453,99856.2336,99446.7258,99519.0859,99388.659,99075.5677,99666.9292,99472.1651,99091.053,99233.4962,100000
1,3,0.5,45.9432602,99941.1106,99685.0491,99606.8954,99350.0233,99269.5808,99889.8983,99465.704,99204.1111,98841.5003,99003.005,99807.5962,99412.0359,99165.2012,98932.2901,98755.002,99856.2336,99446.7258,99519.0859,99388.659,99029.6245,99666.9292,99472.1651,99091.053,99233.4962,100000
