Success,Hop-number,Starting distance,Travel sum,Min used energy,Max used energy,Sum used energy,Optimal sum energy,Node energy 1,Node energy 2,Node energy 3,Node energy 4,Node energy 5,Node energy 6,Node energy 7,Node energy 8,Node energy 9,Node energy 10
1,1,0.1674478818,0.1674478818,12.14829611,12.14829611,12.14829611,12.20703125,199013.3854,199062.0239,199244.3797,199013.3854,198964.7322,198964.7322,199049.8414,199037.6924,199025.5352,200000
1,2,0.3686789599,0.563944452,12.14384352,85.10409736,97.24794087,48.828125,199013.3854,199062.0239,199244.3797,199013.3854,198952.5883,198964.7322,199049.8414,198952.5883,199025.5352,200000
1,1,0.8379049459,0.8379049459,121.6091184,121.6091184,121.6091184,122.0703125,199013.3854,199062.0239,199122.7705,199013.3854,198952.5883,198964.7322,199049.8414,198952.5883,199025.5352,200000
1,2,0.3686789599,0.3822662569,24.28620463,133.7217636,158.0079682,48.828125,199013.3854,198928.3021,199122.7705,199013.3854,198928.3021,198964.7322,199049.8414,198952.5883,199025.5352,200000
1,2,1.191961616,1.205224298,85.00690461,170.1161966,255.1231012,292.96875,199013.3854,198928.3021,199122.7705,199013.3854,198928.3021,198879.7252,198879.7252,198952.5883,199025.5352,200000
1,2,0.3686789599,0.3822662569,24.28324,24.28324,48.56648001,48.828125,199013.3854,198904.0189,199122.7705,199013.3854,198904.0189,198879.7252,198879.7252,198952.5883,199025.5352,200000
1,1,0.4202910085,0.4202910085,36.42930694,36.42930694,36.42930694,48.828125,199013.3854,198904.0189,199122.7705,199013.3854,198904.0189,198879.7252,198879.7252,198916.159,199025.5352,200000
1,2,1.191961616,1.216920685,145.6638613,169.9574777,315.621339,292.96875,199013.3854,198904.0189,199122.7705,199013.3854,198734.0614,198734.0614,198879.7252,198916.159,199025.5352,200000
1,1,0.8379049459,0.8379049459,121.5348941,121.5348941,121.5348941,122.0703125,199013.3854,198904.0189,199001.2357,199013.3854,198734.0614,198734.0614,198879.7252,198916.159,199025.5352,200000
1,2,0.8379049459,0.8390509103,12.09785434,109.3146436,121.412498,122.0703125,199013.3854,198891.921,198891.921,199013.3854,198734.0614,198734.0614,198879.7252,198916.159,199025.5352,200000
1,2,0.8379049459,0.8422247999,60.69699738,84.93498941,145.6319868,122.0703125,199013.3854,198891.921,198831.224,199013.3854,198734.0614,198734.0614,198879.7252,198831.224,199025.5352,200000
1,2,0.4769069878,0.4774369521,24.29362615,36.4434053,60.73703145,48.828125,199013.3854,198891.921,198831.224,198989.0918,198734.0614,198734.0614,198879.7252,198831.224,198989.0918,200000
1,2,0.4769069878,0.4774369521,24.29066062,24.29066062,48.58132124,48.828125,199013.3854,198891.921,198831.224,198964.8011,198734.0614,198734.0614,198879.7252,198831.224,198964.8011,200000
1,1,0.1674478818,0.1674478818,12.14384773,12.14384773,12.14384773,12.20703125,199013.3854,198891.921,198831.224,198964.8011,198734.0614,198734.0614,198879.7252,198831.224,198952.6573,200000
1,1,0.060130074,0.060130074,12.13939948,12.13939948,12.13939948,12.20703125,199013.3854,198879.7816,198831.224,198964.8011,198734.0614,198734.0614,198879.7252,198831.224,198952.6573,200000
1,2,0.4769069878,0.4774369521,24.28769545,36.43154318,60.71923863,48.828125,199013.3854,198879.7816,198831.224,198928.3696,198734.0614,198734.0614,198879.7252,198831.224,198928.3696,200000
1,2,1.191961616,1.205224298,60.64882245,206.3126837,266.9615062,292.96875,199013.3854,198879.7816,198831.224,198928.3696,198734.0614,198673.4126,198673.4126,198831.224,198928.3696,200000
1,1,0.060130074,0.060130074,12.13865855,12.13865855,12.13865855,12.20703125,199013.3854,198867.643,198831.224,198928.3696,198734.0614,198673.4126,198673.4126,198831.224,198928.3696,200000
1,2,0.8379049459,0.8422247999,60.67847413,60.67847413,121.3569483,122.0703125,199013.3854,198867.643,198770.5455,198928.3696,198734.0614,198673.4126,198673.4126,198770.5455,198928.3696,200000
1,2,0.815818586,0.8179068637,24.30548773,109.3213177,133.6268054,122.0703125,198904.0641,198867.643,198770.5455,198928.3696,198734.0614,198673.4126,198673.4126,198770.5455,198904.0641,200000
1,2,0.815818586,0.8191942223,48.56056253,72.86605026,121.4266128,122.0703125,198855.5035,198867.643,198770.5455,198855.5035,198734.0614,198673.4126,198673.4126,198770.5455,198904.0641,200000
1,2,0.3686789599,0.563944452,12.12976449,48.61391637,60.74368086,48.828125,198855.5035,198867.643,198770.5455,198855.5035,198721.9316,198673.4126,198673.4126,198721.9316,198904.0641,200000
1,2,0.3686789599,0.3822662569,24.25804829,169.9693781,194.2274264,48.828125,198855.5035,198697.6736,198770.5455,198855.5035,198697.6736,198673.4126,198673.4126,198721.9316,198904.0641,200000
1,2,0.3686789599,0.3822662569,24.25508711,24.25508711,48.51017421,48.828125,198855.5035,198673.4185,198770.5455,198855.5035,198673.4185,198673.4126,198673.4126,198721.9316,198904.0641,200000
1,2,1.191961616,1.533174279,133.3866906,315.4776731,448.8643636,292.96875,198540.0259,198673.4185,198770.5455,198855.5035,198673.4185,198540.0259,198673.4126,198721.9316,198904.0641,200000
0,0,0.4769069878,0,24.27435346,24.27435346,24.27435346,48.828125,198540.0259,198673.4185,198770.5455,198831.2292,198673.4185,198540.0259,198673.4126,198721.9316,198904.0641,200000
1,2,0.815818586,0.8191942223,24.235843,315.4391626,339.6750056,122.0703125,198515.79,198673.4185,198770.5455,198515.79,198673.4185,198540.0259,198673.4126,198721.9316,198904.0641,200000
1,1,0.4202910085,0.4202910085,36.38707244,36.38707244,36.38707244,48.828125,198515.79,198673.4185,198770.5455,198515.79,198673.4185,198540.0259,198673.4126,198685.5446,198904.0641,200000
1,2,0.8379049459,0.8390509103,12.06086997,109.1879217,121.2487917,122.0703125,198515.79,198661.3576,198661.3576,198515.79,198673.4185,198540.0259,198673.4126,198685.5446,198904.0641,200000
1,1,0.060130074,0.060130074,12.125327,12.125327,12.125327,12.20703125,198515.79,198649.2323,198661.3576,198515.79,198673.4185,198540.0259,198673.4126,198685.5446,198904.0641,200000
1,2,0.815818586,0.8191942223,60.58221131,60.58221131,121.1644226,122.0703125,198455.2078,198649.2323,198661.3576,198455.2078,198673.4185,198540.0259,198673.4126,198685.5446,198904.0641,200000
1,1,0.4202910085,0.4202910085,36.38040977,36.38040977,36.38040977,48.828125,198455.2078,198649.2323,198661.3576,198455.2078,198673.4185,198540.0259,198673.4126,198649.1641,198904.0641,200000
1,1,0.1674478818,0.1674478818,12.14014063,12.14014063,12.14014063,12.20703125,198455.2078,198649.2323,198661.3576,198455.2078,198673.4185,198540.0259,198673.4126,198649.1641,198891.924,200000
1,2,0.4769069878,0.4774369521,24.22548924,460.9416385,485.1671277,48.828125,198455.2078,198649.2323,198661.3576,198430.9823,198673.4185,198540.0259,198673.4126,198649.1641,198430.9823,200000
1,2,0.815818586,0.8191942223,60.56372309,84.78921233,145.3529354,122.0703125,198370.4186,198649.2323,198661.3576,198370.4186,198673.4185,198540.0259,198673.4126,198649.1641,198430.9823,200000
1,1,0.3686789599,0.3686789599,24.25212628,24.25212628,24.25212628,48.828125,198370.4186,198649.2323,198661.3576,198370.4186,198649.1664,198540.0259,198673.4126,198649.1641,198430.9823,200000
